f1,f2,f3,f4,f5,label
0.850122187683086,0.11456544839397953,0.6492813403539827,0.8700605574723156,0.2541861638301276,1
0.37362566631557714,0.70899577275421,0.9434208737151759,0.6765169433717477,0.20484868486080698,1
0.8394016179324312,0.5582251646922383,0.7865995908520936,0.7089476353796714,0.37479275491511643,1
0.1659345644139142,0.71249678782727,0.3434729821553759,0.24457036205478566,0.2384618235403213,0
0.8372225148666042,0.757905304523177,0.2125985907860265,0.3817674267776111,0.5266884285229814,1
0.9775101308507862,0.8514681097368961,0.22019036105274747,0.728341964610319,0.07448491379706712,1
0.6000856089441914,0.42578214805979975,0.8305645771963501,0.1284147304468206,0.3573381086779951,1
0.46469819306600413,0.5483877682081242,0.8245701988620046,0.4048587069949432,0.2585836452046182,1
0.38857819967349827,0.9686729636376832,0.20427435720067977,0.4162206314805157,0.9242926548986983,0
0.4188552463800086,0.055063616176889374,0.3462328555984122,0.7628989823903589,0.9755392330917606,0
0.2784028245797425,0.256473057052961,0.6082057910054878,0.5133918072145846,0.28742189441501476,0
0.7132273909357983,0.7206816066221462,0.9738648859872914,0.10577557008691685,0.9950730437622561,1
0.33309641131930157,0.4757294842180958,0.5121960090710874,0.7449430156330364,0.6166156157150249,1
0.14227391669122869,0.16739759671765653,0.6202069031863926,0.2773308605063032,0.14772779206304343,0
0.03193688958241736,0.13590553589041177,0.48720271293146633,0.6878635105907434,0.8578862052654324,0
0.2552733163616663,0.1384022188510461,0.8763658033188692,0.06953159372189921,0.5253767263054087,0
0.16533365589942262,0.6151433770786622,0.6504762425409204,0.808948352651038,0.10268879604269587,0
0.39885830274501766,0.9270439558632171,0.9877858944195914,0.9819931909679168,0.5174935225434598,1
0.08606946719183473,0.5456501256713389,0.04900019040674519,0.8701488093167844,0.5650217527943066,0
0.2047294116719841,0.31740492144589016,0.12493346626822688,0.6308166889505301,0.7834245897525998,0
0.7453159768558347,0.43191999014274907,0.4305048795654014,0.2770109035901791,0.4443772786118956,1
0.12685590568953709,0.007147380957221339,0.227596525128968,0.926184957187216,0.8071610285826684,0
0.7508403544916792,0.6703196964716592,0.24122858935454727,0.05650060421728864,0.1357936180054362,1
0.3026509850687187,0.16371716279247894,0.03523335770950009,0.8307758364583742,0.6176784134083734,0
0.8673873760577032,0.9375925559019911,0.6083880555447657,0.5513296886426214,0.3167527348481043,1
